"ThresholdSillHingeHoleId","IdThresholdSill","ThresholdSillHingeHoleDepth","ThresholdSillHingeHoleShape","ThresholdSillHingeHoleRadius","ThresholdSillHingeHoleWidth","ThresholdSillHingeHoleLength","ThresholdSillHingeMaterial","OpeningId","Type","PeculiarType","HouseId","BiggerAreaRoom","PassingStandingBiggerRoom","BiggerAreaRoomType","Bigger Area RoomM2","SmallerAreaRoom","PassingStandingSmallerRoom","SmallerAreaRoomType","SmallerAreaRoomM2","Width","Height","Length","LevelOfPreservation","IdThresholdSill:1","IdLintel","Floor","DistancefromGround","FrameTrace","LintelType","Facing","HouseId:1","HouseType","Date","Period","Town","DataMethod","TotalSquareMeter","IdThresholdSill:2","ThresholdSillLength","ThresholdSillWidth","ThresholdSillThickness","ThresholdSillMaterial","ThresholdSillType","ThresholdSillDoorstopWidth","ThresholdSillTenonHoleNumber","ThresholdSillHingeHoleNumber","ThresholdSillBoltHoleNumber","ThresholdSillShutterErosion","ThresholdSillFoldingDoorChannel","IdLintel:1","LintelLength","LintelWidth","LintelThickness","LintelMaterial","LintelDoorstopWidth","LintelTenonHoleNumber","LintelHingeHoleNumber","LintelBoltHoleNumber"
"L1HT0771","T0771",2,"ROUND",3,NA,NA,"NO TRACE",771,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 13 1","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",25.36,194,NA,59,3,"T0771",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",316,"T0771",59,191,10,"LIMESTONE","D",9,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0771","T0771",2,"ROUND",3,NA,NA,"NO TRACE",771,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 13 1","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",25.36,194,NA,59,3,"T0771",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",316,"T0771",59,191,10,"LIMESTONE","D",9,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0775","T0775",2,"ROUND",3,NA,NA,"NO TRACE",775,"DOORWAY","NO","CASE A GIARDINO APP 13 1","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.78,147,NA,60,3,"T0775",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",316,"T0775",57,147,27,"LIMESTONE","D",9,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0775","T0775",2,"ROUND",3,NA,NA,"NO TRACE",775,"DOORWAY","NO","CASE A GIARDINO APP 13 1","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.78,147,NA,60,3,"T0775",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",316,"T0775",57,147,27,"LIMESTONE","D",9,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0788","T0788",2,"ROUND",3,NA,NA,"NO TRACE",788,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 13 2","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",25.36,194,NA,59,3,"T0788",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",316,"T0788",59,191,10,"LIMESTONE","D",9,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0788","T0788",2,"ROUND",3,NA,NA,"NO TRACE",788,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 13 2","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",25.36,194,NA,59,3,"T0788",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",316,"T0788",59,191,10,"LIMESTONE","D",9,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0792","T0792",2,"ROUND",3,NA,NA,"NO TRACE",792,"DOORWAY","NO","CASE A GIARDINO APP 13 2","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.78,147,NA,60,3,"T0792",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",316,"T0792",57,147,27,"LIMESTONE","D",9,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0792","T0792",2,"ROUND",3,NA,NA,"NO TRACE",792,"DOORWAY","NO","CASE A GIARDINO APP 13 2","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.78,147,NA,60,3,"T0792",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 13 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",316,"T0792",57,147,27,"LIMESTONE","D",9,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0810","T0810",0.5,"ROUND",2.75,NA,NA,"NO TRACE",810,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 16 1","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",29.6,191,NA,61,3,"T0810",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 16 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",335,"T0810",60,190,9,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0810","T0810",0.5,"ROUND",2.75,NA,NA,"NO TRACE",810,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 16 1","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",29.6,191,NA,61,3,"T0810",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 16 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",335,"T0810",60,190,9,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0814","T0814",3,"ROUND",3,NA,NA,"NO TRACE",814,"DOORWAY","NO","CASE A GIARDINO APP 16 1","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.32,148,NA,74,3,"T0814",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 16 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",335,"T0814",60,148,29,"LIMESTONE","C",0,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0830","T0830",0.5,"ROUND",2.75,NA,NA,"NO TRACE",830,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 16 2","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",29.6,191,NA,61,3,"T0830",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 16 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",335,"T0830",60,190,9,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0830","T0830",0.5,"ROUND",2.75,NA,NA,"NO TRACE",830,"DOORWAY","BETWEEN FLATS","CASE A GIARDINO APP 16 2","CORRIDOR","PASSING","PUBLIC ROOM",44.27,"CORRIDOR","PASSING","PUBLIC ROOM",29.6,191,NA,61,3,"T0830",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 16 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",335,"T0830",60,190,9,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0834","T0834",3,"ROUND",3,NA,NA,"NO TRACE",834,"DOORWAY","NO","CASE A GIARDINO APP 16 2","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.32,148,NA,74,3,"T0834",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 16 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",335,"T0834",60,148,29,"LIMESTONE","C",0,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0857","T0857",0.5,"ROUND",3,NA,NA,"NO TRACE",857,"DOORWAY","NO","CASE A GIARDINO APP 15","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.4,149,NA,57,3,"T0857",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 15","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",330,"T0857",64,146,31,"LIMESTONE","D",7,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0857","T0857",0.5,"ROUND",3,NA,NA,"NO TRACE",857,"DOORWAY","NO","CASE A GIARDINO APP 15","GARDEN","STANDING","OPEN SPACES",4394,"CORRIDOR","PASSING","PUBLIC ROOM",10.4,149,NA,57,3,"T0857",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 15","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",330,"T0857",64,146,31,"LIMESTONE","D",7,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1HT0877","T0877",2,"ROUND",3.25,NA,NA,"NO TRACE",877,"DOORWAY","NO","CASA DEL GRAFFITO","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",13.77,169,NA,76,3,"T0877",NA,"G",NA,"NO",NA,"OUTSIDE","CASA DEL GRAFFITO","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",236,"T0877",41,169,19,"LIMESTONE","D",8,0,4,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0877","T0877",0.5,"ROUND",3.25,NA,NA,"NO TRACE",877,"DOORWAY","NO","CASA DEL GRAFFITO","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",13.77,169,NA,76,3,"T0877",NA,"G",NA,"NO",NA,"OUTSIDE","CASA DEL GRAFFITO","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",236,"T0877",41,169,19,"LIMESTONE","D",8,0,4,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L2HT0877","T0877",4,"ROUND",3.25,NA,NA,"NO TRACE",877,"DOORWAY","NO","CASA DEL GRAFFITO","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",13.77,169,NA,76,3,"T0877",NA,"G",NA,"NO",NA,"OUTSIDE","CASA DEL GRAFFITO","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",236,"T0877",41,169,19,"LIMESTONE","D",8,0,4,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0877","T0877",5,"ROUND",3.25,NA,NA,"NO TRACE",877,"DOORWAY","NO","CASA DEL GRAFFITO","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",13.77,169,NA,76,3,"T0877",NA,"G",NA,"NO",NA,"OUTSIDE","CASA DEL GRAFFITO","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",236,"T0877",41,169,19,"LIMESTONE","D",8,0,4,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0881","T0881",1,"ROUND",2.5,NA,NA,"NO TRACE",881,"DOORWAY","NO","CASA DEL GRAFFITO","MEDIANUM","PASSING","PUBLIC ROOM",40.19,"CORRIDOR","PASSING","PUBLIC ROOM",13.77,148,NA,60,3,"T0881",NA,"G",NA,"NO",NA,"OUTSIDE","CASA DEL GRAFFITO","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",236,"T0881",60,148,12,"LIMESTONE","D",14,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0881","T0881",1,"ROUND",3,NA,NA,"NO TRACE",881,"DOORWAY","NO","CASA DEL GRAFFITO","MEDIANUM","PASSING","PUBLIC ROOM",40.19,"CORRIDOR","PASSING","PUBLIC ROOM",13.77,148,NA,60,3,"T0881",NA,"G",NA,"NO",NA,"OUTSIDE","CASA DEL GRAFFITO","MEDIANUM APARTMENT","II-IV AD","LATE EMPIRE","OSTIA","SURVEY",236,"T0881",60,148,12,"LIMESTONE","D",14,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0895","T0895",3,"ROUND",2.75,NA,NA,"NO TRACE",895,"DOORWAY","NO","CASE A GIARDINO APP 10 1","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",19.54,148,249,59,5,"T0895",NA,"G",NA,"NO","E","OUTSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0895",56,148,10,"LIMESTONE","D",10,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L2HT0895","T0895",3,"ROUND",2.5,NA,NA,"NO TRACE",895,"DOORWAY","NO","CASE A GIARDINO APP 10 1","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",19.54,148,249,59,5,"T0895",NA,"G",NA,"NO","E","OUTSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0895",56,148,10,"LIMESTONE","D",10,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0895","T0895",5,"ROUND",3.25,NA,NA,"NO TRACE",895,"DOORWAY","NO","CASE A GIARDINO APP 10 1","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",19.54,148,249,59,5,"T0895",NA,"G",NA,"NO","E","OUTSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0895",56,148,10,"LIMESTONE","D",10,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0897","T0897",1,"ROUND",2.5,NA,NA,"NO TRACE",897,"DOORWAY","NO","CASE A GIARDINO APP 10 1","CORRIDOR","PASSING","PUBLIC ROOM",19.54,"CUBICULUM","STANDING","PRIVATE ROOM",16.82,133,NA,45,3,"T0897",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0897",52,133,17,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0897","T0897",1,"ROUND",2.5,NA,NA,"NO TRACE",897,"DOORWAY","NO","CASE A GIARDINO APP 10 1","CORRIDOR","PASSING","PUBLIC ROOM",19.54,"CUBICULUM","STANDING","PRIVATE ROOM",16.82,133,NA,45,3,"T0897",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0897",52,133,17,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0898","T0898",1,"ROUND",2.5,NA,NA,"NO TRACE",898,"DOORWAY","NO","CASE A GIARDINO APP 10 1","CUBICULUM","STANDING","PRIVATE ROOM",16.82,"UNDERSTAIRS","STANDING","SERVICE ROOM",6.32,120,NA,45,3,"T0898",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0898",58,120,8,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0898""","T0898",0.5,"ROUND",2.75,NA,NA,"NO TRACE",898,"DOORWAY","NO","CASE A GIARDINO APP 10 1","CUBICULUM","STANDING","PRIVATE ROOM",16.82,"UNDERSTAIRS","STANDING","SERVICE ROOM",6.32,120,NA,45,3,"T0898",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0898",58,120,8,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0911","T0911",2,"ROUND",3.75,NA,NA,"NO TRACE",911,"DOORWAY","NO","CASE A GIARDINO APP 10 1","STREET","PASSING","OPEN SPACES",NA,"TABERNA","STANDING","PUBLIC ROOM",36.29,280,NA,60,3,"T0911",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 10 1","MEDIANUM APARTMENT","II AD","MIDDLE EMPIRE","OSTIA","SURVEY",461,"T0911",60,280,28,"LIMESTONE","F",8,0,1,0,"NO","YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0911","T0911",2,"ROUND",3.75,NA,NA,"NO TRACE",943,"DOORWAY","NO","CASE A GIARDINO APP 10 2","STREET","PASSING","OPEN SPACES",NA,"TABERNA","STANDING","PUBLIC ROOM",36.29,280,NA,60,3,"T0911",NA,"G",NA,"NO",NA,"OUTSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0911",60,280,28,"LIMESTONE","F",8,0,1,0,"NO","YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0924","T0924",3,"ROUND",2.75,NA,NA,"NO TRACE",924,"DOORWAY","NO","CASE A GIARDINO APP 10 2","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",19.54,148,249,59,5,"T0924",NA,"G",NA,"NO","E","OUTSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0924",56,148,10,"LIMESTONE","D",10,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L2HT0924","T0924",3,"ROUND",2.5,NA,NA,"NO TRACE",924,"DOORWAY","NO","CASE A GIARDINO APP 10 2","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",19.54,148,249,59,5,"T0924",NA,"G",NA,"NO","E","OUTSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0924",56,148,10,"LIMESTONE","D",10,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0924","T0924",5,"ROUND",3.25,NA,NA,"NO TRACE",924,"DOORWAY","NO","CASE A GIARDINO APP 10 2","STREET","PASSING","OPEN SPACES",NA,"CORRIDOR","PASSING","PUBLIC ROOM",19.54,148,249,59,5,"T0924",NA,"G",NA,"NO","E","OUTSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0924",56,148,10,"LIMESTONE","D",10,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0926","T0926",1,"ROUND",2.5,NA,NA,"NO TRACE",926,"DOORWAY","NO","CASE A GIARDINO APP 10 2","CORRIDOR","PASSING","PUBLIC ROOM",19.54,"CUBICULUM","STANDING","PRIVATE ROOM",16.82,133,NA,45,3,"T0926",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0926",52,133,17,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0926","T0926",1,"ROUND",2.5,NA,NA,"NO TRACE",926,"DOORWAY","NO","CASE A GIARDINO APP 10 2","CORRIDOR","PASSING","PUBLIC ROOM",19.54,"CUBICULUM","STANDING","PRIVATE ROOM",16.82,133,NA,45,3,"T0926",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0926",52,133,17,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0927","T0927",1,"ROUND",2.5,NA,NA,"NO TRACE",927,"DOORWAY","NO","CASE A GIARDINO APP 10 2","CUBICULUM","STANDING","PRIVATE ROOM",16.82,"UNDERSTAIRS","STANDING","SERVICE ROOM",6.32,120,NA,45,3,"T0927",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0927",58,120,8,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0927""","T0927",0.5,"ROUND",2.75,NA,NA,"NO TRACE",927,"DOORWAY","NO","CASE A GIARDINO APP 10 2","CUBICULUM","STANDING","PRIVATE ROOM",16.82,"UNDERSTAIRS","STANDING","SERVICE ROOM",6.32,120,NA,45,3,"T0927",NA,"G",NA,"NO",NA,"INSIDE","CASE A GIARDINO APP 10 2","MEDIANUM APARTMENT","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",461,"T0927",58,120,8,"LIMESTONE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0958""","T0958",0.5,"ROUND",3.25,NA,NA,"NO TRACE",958,"DOORWAY","NO","DOMUS  DELL'AQUILA","CUBICULUM","STANDING","PRIVATE ROOM",16.47,"CORRIDOR","PASSING","PUBLIC ROOM",16.4,159,210,45,5,"T0958",NA,"G",NA,"NO","E","INSIDE","DOMUS  DELL'AQUILA","DOMUS","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",210,"T0958",58,159,NA,"MARBLE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2HT0958""","T0958",0.5,"SQUARED",NA,6,7.5,"NO TRACE",958,"DOORWAY","NO","DOMUS  DELL'AQUILA","CUBICULUM","STANDING","PRIVATE ROOM",16.47,"CORRIDOR","PASSING","PUBLIC ROOM",16.4,159,210,45,5,"T0958",NA,"G",NA,"NO","E","INSIDE","DOMUS  DELL'AQUILA","DOMUS","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",210,"T0958",58,159,NA,"MARBLE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0961","T0961",0.5,"ROUND",3.25,NA,NA,"NO TRACE",961,"DOORWAY","NO","DOMUS  DELL'AQUILA","RECEPTION ROOM","STANDING","PUBLIC ROOM",39.83,"CORRIDOR","PASSING","PUBLIC ROOM",16.4,135,NA,46,3,"T0961",NA,"G",NA,"NO",NA,"INSIDE","DOMUS  DELL'AQUILA","DOMUS","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",210,"T0961",46,132,NA,"LIMESTONE","A",9,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0961""","T0961",0.5,"ROUND",3,NA,NA,"NO TRACE",961,"DOORWAY","NO","DOMUS  DELL'AQUILA","RECEPTION ROOM","STANDING","PUBLIC ROOM",39.83,"CORRIDOR","PASSING","PUBLIC ROOM",16.4,135,NA,46,3,"T0961",NA,"G",NA,"NO",NA,"INSIDE","DOMUS  DELL'AQUILA","DOMUS","III-IV AD","LATE EMPIRE","OSTIA","SURVEY",210,"T0961",46,132,NA,"LIMESTONE","A",9,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0978","T0978",1,"ROUND",3,NA,NA,"NO TRACE",978,"DOORWAY","NO","DOMUS DELLA FORTUNA ANNONARIA 1","PORTICUS","PASSING","PUBLIC ROOM",128.03,"CORRIDOR","PASSING","PUBLIC ROOM",9.01,115,206,59,5,"T0978",NA,"G",NA,"YES","E","INSIDE","DOMUS DELLA FORTUNA ANNONARIA 1","DOMUS","II-III AD","MIDDLE EMPIRE","OSTIA","SURVEY",1331,"T0978",27,115,8,"OTHER STONE","A",8,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0986","T0986",0.5,"ROUND",3,NA,NA,"NO TRACE",986,"DOORWAY","NO","DOMUS DELLA FORTUNA ANNONARIA 1","RECEPTION ROOM","STANDING","PUBLIC ROOM",48.99,"RECEPTION ROOM","STANDING","PUBLIC ROOM",20.53,116,219,45,5,"T0986",NA,"G",NA,"NO","E","INSIDE","DOMUS DELLA FORTUNA ANNONARIA 1","DOMUS","II-III AD","MIDDLE EMPIRE","OSTIA","SURVEY",1331,"T0986",42,116,3,"MARBLE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0986","T0986",2,"ROUND",2.5,NA,NA,"NO TRACE",986,"DOORWAY","NO","DOMUS DELLA FORTUNA ANNONARIA 1","RECEPTION ROOM","STANDING","PUBLIC ROOM",48.99,"RECEPTION ROOM","STANDING","PUBLIC ROOM",20.53,116,219,45,5,"T0986",NA,"G",NA,"NO","E","INSIDE","DOMUS DELLA FORTUNA ANNONARIA 1","DOMUS","II-III AD","MIDDLE EMPIRE","OSTIA","SURVEY",1331,"T0986",42,116,3,"MARBLE","C",0,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0997","T0997",2,"ROUND",3.5,NA,NA,"NO TRACE",997,"DOORWAY","NO","DOMUS DELLA FORTUNA ANNONARIA 1","STREET","PASSING","OPEN SPACES",NA,"TABERNA","STANDING","PUBLIC ROOM",51.94,147,NA,58,3,"T0997",NA,"G",NA,"NO",NA,"OUTSIDE","DOMUS DELLA FORTUNA ANNONARIA 1","DOMUS","II-III AD","MIDDLE EMPIRE","OSTIA","SURVEY",1331,"T0997",59,147,NA,"LIMESTONE","D",13,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
