OpeningId,Type,PeculiarType,HouseId,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Facing,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Length,LevelOfPreservation,IdThresholdSill,IdLintel,Floor,DistancefromGround,FrameTrace,LintelType,HouseType,Date,Period,Town,DataMethod,TotalSquareMeter,IdThresholdSill:1,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel
281,WINDOW,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.1,113,146,80,4,,,G,238,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
282,WINDOW,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.1,165,146,80,4,,,G,238,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
283,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,47.75,88,208,67,4,T0240,,G,,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,T0240,67,88,,LIMESTONE,D,20,0,0,0,NO,NO
284,WINDOW,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,47.75,227,200,67,4,,,G,134,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
285,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,47.75,CUBICULUM,STANDING,PRIVATE ROOM,9.02,104,206,63,4,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
286,WINDOW,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,47.75,212,200,67,4,,,G,134,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
287,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,47.75,CUBICULUM,STANDING,PRIVATE ROOM,10.06,177,239,64,4,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
288,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,47.75,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,146,217,73,4,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
289,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,10.06,CUBICULUM,STANDING,PRIVATE ROOM,9.02,90,,53,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
290,WINDOW,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,190,200,65,4,,,G,134,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
291,WINDOW,NO,CASA DI BACCO FANCIULLO 2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,190,,65,3,,,G,471,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
292,WINDOW,NO,CASA DI BACCO FANCIULLO 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,19.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,179,200,52,4,,,G,84,NO,E,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
293,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,19.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,85,209,52,4,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
294,WINDOW,NO,CASA DI BACCO FANCIULLO 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,7.88,126,135,72,4,,,G,216,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
295,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,7.88,ANTICHAMBER,STANDING,PUBLIC ROOM,2.32,102,217,65,4,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
296,WINDOW,NO,CASA DI BACCO FANCIULLO 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,ANTICHAMBER,STANDING,PUBLIC ROOM,2.32,96,117,72,4,,,G,218,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,250,,,,,,,,,,,,
297,DOORWAY,NO,CASA DEI DIPINTI  1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,20,CUBICULUM,STANDING,PRIVATE ROOM,17.82,88,,64,3,,,G,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
298,DOORWAY,NO,CASA DEI DIPINTI  1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,87,216,42,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
299,WINDOW,NO,CASA DEI DIPINTI  1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,198,37,4,,,G,95,NO,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
300,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,218,54,4,,,G,122,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
301,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,148,239,56,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
302,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,175,56,4,,,G,132,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
303,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,176,58,4,,,G,134,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
304,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,74,47,52,4,,,G,264,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
305,DOORWAY,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,87,194,52,4,,,G,26,NO,D,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
306,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,CUBICULUM,STANDING,PRIVATE ROOM,17.82,180,252,59,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
307,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,CUBICULUM,STANDING,PRIVATE ROOM,10.37,103,225,56,4,,,G,,NO,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
308,DOORWAY,NO,CASA DEI DIPINTI  1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,33.41,MEDIANUM,PASSING,PUBLIC ROOM,28.29,180,241,59,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
309,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,174,56,4,,,G,132,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
310,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,176,59,4,,,G,135,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
311,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,176,59,4,,,G,132,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
312,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,129,59,4,,,G,386,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
313,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,153,59,4,,,G,386,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
314,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,134,59,4,,,G,386,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
315,DOORWAY,NO,CASA DEI DIPINTI  1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,33.41,CORRIDOR,PASSING,PUBLIC ROOM,9.07,87,220,58,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
316,DOORWAY,NO,CASA DEI DIPINTI  1,SERVICE ROOM,STANDING,SERVICE ROOM,INSIDE,18.23,CORRIDOR,PASSING,PUBLIC ROOM,9.07,130,220,58,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
317,DOORWAY,NO,CASA DEI DIPINTI  1,SERVICE ROOM,STANDING,SERVICE ROOM,INSIDE,18.23,CORRIDOR,PASSING,PUBLIC ROOM,9.07,99,220,58,4,,,G,,NO,C,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
318,WINDOW,NO,CASA DEI DIPINTI  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,,59,3,,,G,222,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
319,WINDOW,NO,CASA DEI DIPINTI  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,125,59,4,,,G,222,NO,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
320,DOORWAY,NO,CASA DEI DIPINTI  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,CORRIDOR,PASSING,PUBLIC ROOM,9.07,143,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
321,WINDOW,NO,CASA DEI DIPINTI  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,10.37,98,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
322,WINDOW,NO,CASA DEI DIPINTI  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,17.82,116,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
323,DOORWAY,NO,CASA DEI DIPINTI  1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,17.82,CUBICULUM,STANDING,PRIVATE ROOM,10.37,89,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
324,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,,54,3,,,G,410,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
325,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,CUBICULUM,STANDING,PRIVATE ROOM,17.82,180,,59,3,,,1,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
326,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,,56,3,,,1,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
327,WINDOW,NO,CASA DEI DIPINTI  1,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,,58,3,,,1,,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,439,,,,,,,,,,,,
328,DOORWAY,NO,CASA DEI DIPINTI  2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CORRIDOR,PASSING,PUBLIC ROOM,9.07,143,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
329,DOORWAY,NO,CASA DEI DIPINTI  2,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,33.41,CORRIDOR,PASSING,PUBLIC ROOM,9.07,87,220,58,4,,,G,,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
330,DOORWAY,NO,CASA DEI DIPINTI  2,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,33.41,MEDIANUM,PASSING,PUBLIC ROOM,28.29,180,241,59,4,,,G,,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
331,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,174,56,4,,,G,132,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
332,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,176,59,4,,,G,135,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
333,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,176,59,4,,,G,132,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
334,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,129,59,4,,,G,386,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
335,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,153,59,4,,,G,386,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
336,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,134,59,4,,,G,386,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
337,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,176,58,4,,,G,134,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
338,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,175,56,4,,,G,132,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
339,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,148,239,56,4,,,G,,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
340,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,CUBICULUM,STANDING,PRIVATE ROOM,10.05,180,252,59,4,,,G,,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
341,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,CUBICULUM,STANDING,PRIVATE ROOM,7.74,103,225,56,4,,,G,,NO,E,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
342,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,218,54,4,,,G,122,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
343,WINDOW,NO,CASA DEI DIPINTI  2,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,,54,3,,,G,410,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
344,DOORWAY,NO,CASA DEI DIPINTI  2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,87,216,42,4,,,G,,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
345,WINDOW,NO,CASA DEI DIPINTI  2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,198,37,4,,,G,95,NO,E,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
346,DOORWAY,NO,CASA DEI DIPINTI  2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,20,CUBICULUM,STANDING,PRIVATE ROOM,7.38,88,,64,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
347,WINDOW,NO,CASA DEI DIPINTI  2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,7.38,116,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
348,DOORWAY,NO,CASA DEI DIPINTI  2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,7.38,ANTICHAMBER,STANDING,PUBLIC ROOM,2.16,89,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
349,WINDOW,NO,CASA DEI DIPINTI  2,STREET,PASSING,OPEN SPACES,OUTSIDE,,ANTICHAMBER,STANDING,PUBLIC ROOM,2.16,98,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,257,,,,,,,,,,,,
350,DOORWAY,NO,CASA DEI DIPINTI  3,STREET,PASSING,OPEN SPACES,OUTSIDE,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,,59,3,,,G,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
351,WINDOW,NO,CASA DEI DIPINTI  3,STREET,PASSING,OPEN SPACES,OUTSIDE,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,125,59,4,,,G,222,NO,E,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
352,DOORWAY,NO,CASA DEI DIPINTI  3,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,28.29,CUBICULUM,STANDING,PRIVATE ROOM,17.82,180,,59,3,,,1,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
353,WINDOW,NO,CASA DEI DIPINTI  3,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,,58,3,,,1,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
354,WINDOW,NO,CASA DEI DIPINTI  3,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,,56,3,,,1,,NO,,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
355,DOORWAY,NO,CASA DEI DIPINTI  3,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,87,194,52,4,,,G,26,NO,D,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
356,WINDOW,NO,CASA DEI DIPINTI  3,GARDEN,STANDING,OPEN SPACES,OUTSIDE,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,74,47,52,4,,,G,264,NO,C,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,BOTH,182,,,,,,,,,,,,
357,DOORWAY,NO,CASEGGIATO DI  DIANA  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,STAIRWAY,PASSING,SERVICE ROOM,16.47,137,285,56,4,,L0357,G,,NO,F,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,1751,,,,,,,,,,,,
358,DOORWAY,NO,CASEGGIATO DI  DIANA  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,ENTRANCE,PASSING,PUBLIC ROOM,22.09,176,304,60,4,,L0358,G,,NO,F,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,1751,,,,,,,,,,,,
359,DOORWAY,NO,CASEGGIATO DI  DIANA  1,ENTRANCE,PASSING,PUBLIC ROOM,INSIDE,22.09,UNDERSTAIRS,STANDING,SERVICE ROOM,16.47,80,189,61,4,,,G,,NO,,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,1751,,,,,,,,,,,,
360,DOORWAY,NO,CASEGGIATO DI  DIANA  1,ENTRANCE,PASSING,PUBLIC ROOM,INSIDE,22.09,CUBICULUM,STANDING,PRIVATE ROOM,6.54,86,180,60,4,,,G,,NO,,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,1751,,,,,,,,,,,,
361,WINDOW,WOLF MOUTH WINDOW,CASEGGIATO DI  DIANA  1,LATRINA,STANDING,SERVICE ROOM,INSIDE,8.74,CUBICULUM,STANDING,PRIVATE ROOM,6.54,44,94,60,4,,,G,140,NO,,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,1751,,,,,,,,,,,,
362,DOORWAY,NO,CASEGGIATO DI  DIANA  1,STREET,PASSING,OPEN SPACES,OUTSIDE,,ENTRANCE,PASSING,PUBLIC ROOM,36.63,297,318,60,4,,,G,,NO,,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,1751,,,,,,,,,,,,
