OpeningId,Type,PeculiarType,HouseId,HouseType,Date,Period,Town,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Facing,Floor,DistancefromGround,IdThresholdSill,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel,FrameTrace,LintelType,IdLintel,LintelLength,LintelWidth,LintelThickness,LintelMaterial,LintelDoorstopWidth,LintelTenonHoleNumber,LintelHingeHoleNumber,LintelBoltHoleNumber
290,WINDOW,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,190,200,OUTSIDE,G,134,,,,,,,,,,,,,NO,C,,,,,,,,,
291,WINDOW,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,190,,OUTSIDE,G,471,,,,,,,,,,,,,NO,C,,,,,,,,,
292,WINDOW,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,19.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,179,200,INSIDE,G,84,,,,,,,,,,,,,NO,E,,,,,,,,,
293,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,19.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.43,85,209,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
294,WINDOW,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,7.88,126,135,OUTSIDE,G,216,,,,,,,,,,,,,NO,C,,,,,,,,,
295,DOORWAY,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,7.88,ANTICHAMBER,STANDING,PUBLIC ROOM,2.32,102,217,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
296,WINDOW,NO,CASA DI BACCO FANCIULLO 2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ANTICHAMBER,STANDING,PUBLIC ROOM,2.32,96,117,OUTSIDE,G,218,,,,,,,,,,,,,NO,C,,,,,,,,,
297,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,20,CUBICULUM,STANDING,PRIVATE ROOM,17.82,88,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
298,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,87,216,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
299,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,198,INSIDE,G,95,,,,,,,,,,,,,NO,E,,,,,,,,,
300,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,218,OUTSIDE,G,122,,,,,,,,,,,,,NO,C,,,,,,,,,
301,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,148,239,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
302,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,175,OUTSIDE,G,132,,,,,,,,,,,,,NO,C,,,,,,,,,
303,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,176,OUTSIDE,G,134,,,,,,,,,,,,,NO,C,,,,,,,,,
304,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,74,47,OUTSIDE,G,264,,,,,,,,,,,,,NO,C,,,,,,,,,
305,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,87,194,OUTSIDE,G,26,,,,,,,,,,,,,NO,D,,,,,,,,,
306,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,CUBICULUM,STANDING,PRIVATE ROOM,17.82,180,252,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
307,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,CUBICULUM,STANDING,PRIVATE ROOM,10.37,103,225,INSIDE,G,,,,,,,,,,,,,,NO,E,,,,,,,,,
308,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,MEDIANUM,PASSING,PUBLIC ROOM,28.29,180,241,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
309,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,174,OUTSIDE,G,132,,,,,,,,,,,,,NO,C,,,,,,,,,
310,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,176,OUTSIDE,G,135,,,,,,,,,,,,,NO,C,,,,,,,,,
311,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,176,OUTSIDE,G,132,,,,,,,,,,,,,NO,C,,,,,,,,,
312,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,129,OUTSIDE,G,386,,,,,,,,,,,,,NO,C,,,,,,,,,
313,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,153,OUTSIDE,G,386,,,,,,,,,,,,,NO,C,,,,,,,,,
314,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,134,OUTSIDE,G,386,,,,,,,,,,,,,NO,C,,,,,,,,,
315,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,CORRIDOR,PASSING,PUBLIC ROOM,9.07,87,220,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
316,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,CORRIDOR,PASSING,PUBLIC ROOM,9.07,130,220,OUTSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
317,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,CORRIDOR,PASSING,PUBLIC ROOM,9.07,99,220,OUTSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
318,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,,OUTSIDE,G,222,,,,,,,,,,,,,NO,,,,,,,,,,
319,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,125,OUTSIDE,G,222,,,,,,,,,,,,,NO,E,,,,,,,,,
320,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CORRIDOR,PASSING,PUBLIC ROOM,9.07,143,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
321,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,10.37,98,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
322,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,17.82,116,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
323,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,17.82,CUBICULUM,STANDING,PRIVATE ROOM,10.37,89,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
324,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,,OUTSIDE,G,410,,,,,,,,,,,,,NO,,,,,,,,,,
325,DOORWAY,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,CUBICULUM,STANDING,PRIVATE ROOM,17.82,180,,INSIDE,1,,,,,,,,,,,,,,NO,,,,,,,,,,
326,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,,OUTSIDE,1,,,,,,,,,,,,,,NO,,,,,,,,,,
327,WINDOW,NO,CASA DEI DIPINTI  1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,,OUTSIDE,1,,,,,,,,,,,,,,NO,,,,,,,,,,
328,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CORRIDOR,PASSING,PUBLIC ROOM,9.07,143,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
329,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,CORRIDOR,PASSING,PUBLIC ROOM,9.07,87,220,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
330,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,MEDIANUM,PASSING,PUBLIC ROOM,28.29,180,241,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
331,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,174,OUTSIDE,G,132,,,,,,,,,,,,,NO,C,,,,,,,,,
332,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,176,OUTSIDE,G,135,,,,,,,,,,,,,NO,C,,,,,,,,,
333,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,176,OUTSIDE,G,132,,,,,,,,,,,,,NO,C,,,,,,,,,
334,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,120,129,OUTSIDE,G,386,,,,,,,,,,,,,NO,C,,,,,,,,,
335,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,145,153,OUTSIDE,G,386,,,,,,,,,,,,,NO,C,,,,,,,,,
336,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,33.41,118,134,OUTSIDE,G,386,,,,,,,,,,,,,NO,C,,,,,,,,,
337,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,176,OUTSIDE,G,134,,,,,,,,,,,,,NO,,,,,,,,,,
338,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,175,OUTSIDE,G,132,,,,,,,,,,,,,NO,C,,,,,,,,,
339,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,148,239,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
340,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,CUBICULUM,STANDING,PRIVATE ROOM,10.05,180,252,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
341,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,CUBICULUM,STANDING,PRIVATE ROOM,7.74,103,225,INSIDE,G,,,,,,,,,,,,,,NO,E,,,,,,,,,
342,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,218,OUTSIDE,G,122,,,,,,,,,,,,,NO,C,,,,,,,,,
343,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,,OUTSIDE,G,410,,,,,,,,,,,,,NO,,,,,,,,,,
344,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,87,216,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
345,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,20,RECEPTION ROOM,STANDING,PUBLIC ROOM,16.06,191,198,INSIDE,G,95,,,,,,,,,,,,,NO,E,,,,,,,,,
346,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,20,CUBICULUM,STANDING,PRIVATE ROOM,7.38,88,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
347,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,7.38,116,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
348,DOORWAY,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,7.38,ANTICHAMBER,STANDING,PUBLIC ROOM,2.16,89,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
349,WINDOW,NO,CASA DEI DIPINTI  2,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ANTICHAMBER,STANDING,PUBLIC ROOM,2.16,98,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
350,DOORWAY,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
351,WINDOW,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,SERVICE ROOM,STANDING,SERVICE ROOM,18.23,112,125,OUTSIDE,G,222,,,,,,,,,,,,,NO,E,,,,,,,,,
352,DOORWAY,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,28.29,CUBICULUM,STANDING,PRIVATE ROOM,17.82,180,,INSIDE,1,,,,,,,,,,,,,,NO,,,,,,,,,,
353,WINDOW,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,165,,OUTSIDE,1,,,,,,,,,,,,,,NO,,,,,,,,,,
354,WINDOW,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,117,,OUTSIDE,1,,,,,,,,,,,,,,NO,,,,,,,,,,
355,DOORWAY,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,87,194,OUTSIDE,G,26,,,,,,,,,,,,,NO,D,,,,,,,,,
356,WINDOW,NO,CASA DEI DIPINTI  3,MEDIANUM APARTMENT,II-III AD,MIDDLE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,336.9,MEDIANUM,PASSING,PUBLIC ROOM,28.29,74,47,OUTSIDE,G,264,,,,,,,,,,,,,NO,C,,,,,,,,,
357,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,STAIRWAY,PASSING,SERVICE ROOM,16.47,137,285,OUTSIDE,G,,,,,,,,,,,,,,NO,F,L0357,155,56,10,WOOD,,,,
358,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ENTRANCE,PASSING,PUBLIC ROOM,22.09,176,304,OUTSIDE,G,,,,,,,,,,,,,,NO,F,L0358,194,60,12,WOOD,,,,
359,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,22.09,UNDERSTAIRS,STANDING,SERVICE ROOM,16.47,80,189,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
360,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,22.09,CUBICULUM,STANDING,PRIVATE ROOM,6.54,86,180,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
361,WINDOW,WOLF MOUTH WINDOW,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,LATRINA,STANDING,SERVICE ROOM,8.74,CUBICULUM,STANDING,PRIVATE ROOM,6.54,44,94,INSIDE,G,140,,,,,,,,,,,,,NO,,,,,,,,,,
362,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ENTRANCE,PASSING,PUBLIC ROOM,36.63,297,318,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
363,WINDOW,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,36.63,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,60,145,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
364,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,36.63,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,95,212,INSIDE,G,,,,,,,,,,,,,,NO,F,L0364,173,61,8,WOOD,,,,
365,WINDOW,NO,CASEGGIATO DI  DIANA  10,SHOP APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,36.63,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,60,100,INSIDE,G,274,,,,,,,,,,,,,NO,B,,,,,,,,,
366,WINDOW,NO,CASEGGIATO DI  DIANA  10,SHOP APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,36.63,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,60,100,INSIDE,G,274,,,,,,,,,,,,,NO,B,,,,,,,,,
367,WINDOW,NO,CASEGGIATO DI  DIANA  10,SHOP APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,36.63,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,22,30,INSIDE,G,335,,,,,,,,,,,,,NO,A,,,,,,,,,
368,WINDOW,NO,CASEGGIATO DI  DIANA  10,SHOP APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,36.63,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,22,30,INSIDE,G,335,,,,,,,,,,,,,NO,A,,,,,,,,,
369,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,25.78,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,103,205,INSIDE,G,,,,,,,,,,,,,,NO,F,L0369,126,61,6,WOOD,,,,
370,WINDOW,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,25.78,ANTICHAMBER,STANDING,PUBLIC ROOM,14.94,131,139,INSIDE,G,117,,,,,,,,,,,,,NO,F,L0370,162,61,8,WOOD,,,,
371,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ENTRANCE,PASSING,PUBLIC ROOM,29.14,295,318,OUTSIDE,G,,,,,,,,,,,,,,NO,F,L0371,313,61,9,WOOD,,,,
372,DOORWAY,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,ENTRANCE,PASSING,PUBLIC ROOM,29.14,ANTICHAMBER,STANDING,PUBLIC ROOM,11.38,90,210,INSIDE,G,,,,,,,,,,,,,,NO,F,L0372,133,61,8,WOOD,,,,
373,WINDOW,NO,CASEGGIATO DI  DIANA  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,25.78,ANTICHAMBER,STANDING,PUBLIC ROOM,11.38,103,134,INSIDE,G,118,,,,,,,,,,,,,NO,F,,,,,,,,,
